Well,Content,Group,Blank corrected based on Raw Data (600)
A01,Sample X1,A,0.018
A02,Sample X2,A,0.021
A03,Sample X3,A,0.018
A04,Sample X4,A,0.016
A05,Sample X5,A,0.017
A06,Sample X6,A,0.015
A07,Sample X43,A,0.024
A08,Sample X44,A,0.02
A09,Sample X45,A,0.04
A10,Sample X46,A,0.024
A11,Sample X47,A,0.027
A12,Sample X48,A,0.027
B01,Sample X7,A,0.018
B02,Sample X8,A,0.016
B03,Sample X9,A,0.008
B04,Sample X10,A,-0.003
B05,Sample X11,A,-5.00E-05
B06,Sample X12,A,0.02
B07,Sample X49,A,0.015
B08,Sample X50,A,-2.50E-04
B09,Sample X51,A,0.015
B10,Sample X52,A,0.013
B11,Sample X53,A,0.02
B12,Sample X54,A,0.023
C01,Sample X13,A,0.017
C02,Sample X14,A,0.017
C03,Sample X15,A,0.021
C04,Sample X16,A,0.019
C05,Sample X17,A,0.019
C06,Sample X18,A,0.017
C07,Sample X55,A,0.015
C08,Sample X56,A,0.013
C09,Sample X57,A,0.014
C10,Sample X58,A,0.013
C11,Sample X59,A,0.018
C12,Sample X60,A,0.019
D01,Sample X19,A,0.019
D02,Sample X20,A,0.018
D03,Sample X21,A,0.016
D04,Sample X22,A,0.016
D05,Sample X23,A,0.027
D06,Sample X24,A,0.016
D07,Sample X61,A,0.02
D08,Sample X62,A,0.017
D09,Sample X63,A,0.018
D10,Sample X64,A,0.017
D11,Sample X65,A,0.02
D12,Sample X66,A,0.02
E01,Sample X25,A,0.012
E02,Sample X26,A,0.014
E03,Sample X27,A,0.016
E04,Sample X28,A,0.015
E05,Sample X29,A,0.012
E06,Sample X30,A,0.016
E07,Sample X67,A,0.02
E08,Sample X68,A,0.016
E09,Sample X69,A,0.018
E10,Sample X70,A,0.016
E11,Sample X71,A,0.018
E12,Sample X72,A,0.019
F01,Sample X31,A,0.021
F02,Sample X32,A,0.019
F03,Sample X33,A,0.022
F04,Sample X34,A,0.02
F05,Sample X35,A,0.02
F06,Sample X36,A,0.02
F07,Sample X73,A,0.022
F08,Sample X74,A,0.02
F09,Sample X75,A,0.023
F10,Sample X76,A,0.02
F11,Sample X77,A,0.026
F12,Sample X78,A,0.024
G01,Sample X37,A,0.027
G02,Sample X38,A,0.022
G03,Sample X39,A,0.021
G04,Sample X40,A,0.02
G05,Sample X41,A,0.019
G06,Sample X42,A,0.024
H01,Blank B,A,
H02,Blank B,A,
H03,Negative control N,A,0.034
H04,Negative control N,A,0.038
H07,Blank B,B,
H08,Blank B,B,
H09,Negative control N,B,0.028
H10,Negative control N,B,0.035
H11,Positive control P,B,0.038
H12,Positive control P,B,0.036
